Country/Region,Province/State,th,logK,sigma,score
Algeria,NaN,96.08346048717365,5.84798842989666,5.647167423765827,0.0016822004543386386
Argentina,NaN,98.2467672017984,4.8751128690222085,7.147886381355744,0.0004973487184423472
Austria,NaN,95.67582231613271,6.1203553053092445,8.70949870198401,0.0018965469582406295
Belgium,NaN,103.08664434781795,8.960043541406206,9.482244781281011,0.0032589960364685236
Brazil,NaN,108.20819926949298,8.404586077499882,10.858597282381455,0.0018174077532249124
Canada,Ontario,100.07579797767598,6.137639166532029,6.943910263819804,0.005699016849290607
Canada,Quebec,104.37843292148887,6.79735388255813,7.294456609653855,0.006280455984386157
Chile,NaN,98.43711913072303,4.657597067380229,5.265759427264686,0.00028370704535403364
China,Hubei,44.642630844701074,8.039158071805552,9.70123308466751,0.003324110958245751
Colombia,NaN,99.07282291958634,4.93273171383996,3.836053622745137,0.000686167625366314
Czechia,NaN,99.13503828111185,5.392384340449157,8.502115376892093,0.0003576036218180266
Denmark,NaN,95.93175890661793,5.911919195657676,9.154308668514417,0.00107373442603447
Dominican Republic,NaN,203.280338338437,11.215860016637237,35.33274588766483,0.001965153833160892
Ecuador,NaN,97.35068553827512,6.132345524461256,7.839336586412996,0.0038101831976298
Egypt,NaN,114.16846551485584,6.509409737398807,16.211863160201197,0.0009307524310378263
France,NaN,100.94221255574548,10.227054621554537,10.069749280216682,0.01814359950818639
Germany,NaN,98.86072056302953,8.488625890442176,8.785499565342285,0.0029865586911973024
Greece,NaN,91.4337427279986,4.64366843983621,7.0716380335386155,0.000444348534856703
Hungary,NaN,108.13433522186374,5.865744852943834,10.349496618763789,9.467786007931112e-05
India,NaN,112.72299195108818,7.465742011409819,11.635978822862247,0.004526089688172639
Indonesia,NaN,113.13133376463938,7.236028993210537,17.525313786901513,0.004910533793737938
Iran,NaN,85.32428316740669,8.437073888370875,10.88697952608361,0.004782721707671694
Iraq,NaN,89.7200468177837,4.561789769199169,15.728347254997676,0.00036001683105612377
Ireland,NaN,101.34000156818928,6.48353702310073,9.055034414135843,0.0005907358024801018
Israel,NaN,98.17766386242032,5.024923997132918,6.763682237867286,0.0005301436187086922
Italy,NaN,86.81902505123506,9.9173193870565,9.337413114026194,0.002597663159184589
Japan,NaN,339.4045609833149,13.334407596375016,66.73592979998057,0.0033311260435014227
"Korea, South",NaN,87.39117160183116,5.6559012437659355,21.067221675636645,0.0006682293475954199
Luxembourg,NaN,96.83426703806728,4.252971778828384,3.652708122848436,0.0006760147724790321
Malaysia,NaN,123.20878535044052,5.604178623302644,35.99975954711622,0.0002555031309320237
Mexico,NaN,105.24484436678031,6.67069910231959,7.93080983971936,0.0010625953025582735
Morocco,NaN,94.74838436407407,4.8996257610568446,6.172634874392236,0.0005795291994391737
Netherlands,NaN,93.99724320423263,8.095959168004963,8.0673653562412,0.0004629352756116031
Norway,NaN,97.43079585731775,5.21335348758638,8.83883073217498,0.0007354176844956364
Pakistan,NaN,162.6904187261571,8.34758377877256,29.659456654298275,0.0024344977964509797
Panama,NaN,184.2364966856362,8.69171552860302,37.08988581528513,0.000667630867598096
Peru,NaN,109.00758000076893,6.549885156992187,11.8822445308386,0.0008420354241285567
Philippines,NaN,127.24923304026655,7.836155750850563,20.57889019264782,0.002396548628914691
Poland,NaN,100.96906427162614,6.0259754642789165,8.181660343624893,0.0009961857742156897
Portugal,NaN,96.43351474448147,6.525647742900956,8.71481441251002,0.0012435312611156983
Romania,NaN,99.91786639954603,6.273678627336533,9.616326760540153,0.0010009474308483356
Russia,NaN,150.89820382300218,10.246917059452095,18.703979938348255,0.0006946398305600707
Serbia,NaN,185.45702643367787,8.347843343297487,40.32617723447278,0.0005863189937350556
Spain,NaN,90.32187895094839,9.790297339948538,7.390622890683526,0.0069885235146121116
Sweden,NaN,102.76954035620966,7.606827888457895,9.898464922214599,0.008323866723776007
Switzerland,NaN,95.04154435206115,7.259911844667609,9.176947987765,0.00159119530769154
Turkey,NaN,100.69210353549214,7.683668542605138,8.51132397272845,0.0027431287792998205
Ukraine,NaN,102.63171233747974,5.172513579485798,8.442969309359832,0.0004360920005571235
United Kingdom,NaN,106.43830383693643,10.36557322982404,10.597955739449567,0.010393083690757468
US,NaN,107.70993585503382,11.257831485737574,10.615585258159035,0.007592967583450144
US,Alabama,154.85102994692883,8.060959384186464,28.038853002143597,0.001061193851285427
US,Arizona,105.41699163265477,5.670096490975785,12.721631290069475,0.0005796500188389998
US,California,104.25745871003805,7.373463887525354,11.631385385359652,0.0008437406965650581
US,Colorado,102.8892694044952,6.38327004729186,10.2977990130623,0.0026487935576584944
US,Connecticut,109.61420661895556,7.801168525491303,10.31330415422999,0.0020494507740402563
US,Florida,100.84069647967635,6.75495405175721,8.618464676826942,0.008804369840421178
US,Georgia,101.49142303000181,6.782829752284691,10.236871841253258,0.005052255838242583
US,Illinois,104.15151354980753,7.475402964434931,9.017573264552205,0.005465604234884839
US,Indiana,103.73778116995904,6.6720886479038,9.144863210862292,0.0030891013756867824
US,Kentucky,98.2421498088891,4.956820570792486,7.511634944822321,0.0024130926382023533
US,Louisiana,98.27201684797717,7.1860887911397695,8.773311872541464,0.0016883608891490444
US,Maryland,104.30678938859998,6.401205297095309,7.70494066599882,0.0012166241830420814
US,Massachusetts,104.83003607253156,7.60906356368214,8.61345351726845,0.007574731469421083
US,Michigan,99.65353122073739,7.788992491665397,7.557916888294029,0.002948388276941521
US,Minnesota,137.11138627836067,6.850123001547502,24.02716913375363,0.0006917304627348904
US,Mississippi,99.24907314766102,5.030411026481071,7.861982450540026,0.0007825468920502739
US,Missouri,99.46208759898165,5.252899882937237,6.9557877286602725,0.0024506334525343904
US,Nevada,105.29715653211483,5.605241861129384,12.445972991629372,0.0010044226235667543
US,New Jersey,102.99692216022294,8.570974999674753,8.256147328970071,0.006418894997917915
US,New York,98.00975997613662,9.4761736080698,7.035610171115051,0.004404317474205249
US,North Carolina,104.65645259975145,5.464975382744619,10.868882629758364,0.003655111489609687
US,Ohio,102.17062082652848,6.315621130430423,9.452589422240486,0.0017195778400639066
US,Oklahoma,96.54773190356573,4.78197602023875,5.356236655221929,0.003052344724738395
US,Pennsylvania,114.75181068731598,8.340752994638166,11.248076473045561,0.003940062737801229
US,South Carolina,100.10044430420702,4.948394248757317,8.199940679122165,0.0030163498886962604
US,Tennessee,96.11893698936292,4.857717250392991,5.493308202706223,0.0009277562780640275
US,Texas,101.81749536081168,6.3423458519363205,9.10877045260671,0.0010430168505726352
US,Virginia,117.29223064946905,6.909364832533432,13.941617927922401,0.01064558534366064
US,Washington,103.41394584105691,6.991442939044562,16.868432528734147,0.0015209337809141347
US,Wisconsin,99.50417847585753,5.470850159977333,8.068493031661852,0.0013603440945186766
